nom_ev;adresse;nom_gerant;type_espace_vert;type_jardin_partage;domaine;proprietaire_terrain;statut_plu;amenagements;mail_1;mail_2;internet_1;internet_2;date_fermeture;geo_shape;geo_point_2d
Jardin de la Butte Bergeyre;78 rue Georges Lardennois;Les Habitants de la Butte Bergeyre;;Conseil d'arrondissement;Ville de Paris;DEVE;ZUGELV;cabane ruches (mais pas sur la partie appartenant à la ville);jardinbergeyre@gmail.com;;https://www.habitants-butte-bergeyre.fr/;;;"{""coordinates"": [2.3757588078042766, 48.87721264639524], ""type"": ""Point""}";48.87721264639524, 2.3757588078042766
Les jardins passagers;;Etablissement Public du Parc et de la Grande Halle de La Villette;Autre;Autre;Hors Ville de Paris;Etat;ZUV;composteur mare abri table de jardinage;;;villette.com/votre-visite/les-jardins-passagers;;;"{""coordinates"": [2.3901476567878484, 48.89249322970248], ""type"": ""Point""}";48.89249322970248, 2.3901476567878484
Au p'tit Vertbois;Conservatoire des arts et métiers 5 rue Vaucanson;Régie de quartier Paris-Centre;;Autre;Hors Ville de Paris;;;;contact@regiepariscentre.org;;http://regiepariscentre.org;;;"{""coordinates"": [2.356640212623597, 48.867159971367556], ""type"": ""Point""}";48.867159971367556, 2.356640212623597
Potager des Oiseaux;3 rue des Oiseaux;Les jardiniers du 3ème;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;PSMV Marais;cabane toit végétalisé;potagerdesoiseaux@gmail.com;;http://potagerdesoiseaux.blogspot.com/;;;"{""coordinates"": [2.361789533379203, 48.86298414291483], ""type"": ""Point""}";48.86298414291483, 2.361789533379203
Jardin partagé du Bas-Belleville;14 Cité de Gênes;Crescendo-Centre Social et Culturel La maison du bas Belleville;;Conseil de Paris;Ville de Paris;DVD;Voie publique ou privéeaménagement piéton;;maison.bas-belleville@groupe-sos.org;;www.maisonbasbelleville.org;;;"{""coordinates"": [2.382814854587793, 48.870657027696495], ""type"": ""Point""}";48.870657027696495, 2.382814854587793
Jardin des Délices;10 impasse Satan;Jardin des délices;;Conseil d'arrondissement;Ville de Paris;DEVE;ZUGELV;cabane sur dalle, composteur et récupérateur d'eau;lejardindesdelices20@gmail.com;;;;;"{""coordinates"": [2.4031486944419402, 48.855728547621275], ""type"": ""Point""}";48.855728547621275, 2.4031486944419402
jardin partagé de la rue de lancry;13 rue de Lancry;association CRL10;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;;décaissement avec apport de terre - panneau;;;http://www.crl10.net/;;;"{""coordinates"": [2.3603470841551277, 48.86950039634417], ""type"": ""Point""}";48.86950039634417, 2.3603470841551277
Le Jardin Balanchine;Square James Joyce 7 rue Georges Balanchine;Le Jardin Balanchine;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;;cabane composteur Abri à insecte;contact@jardinbalanchine.fr;;;;;"{""coordinates"": [2.373772247850749, 48.83634732695983], ""type"": ""Point""}";48.83634732695983, 2.373772247850749
Jardin'âges;17 rue des Perichaux (entre square du Docteur Calmette et square Lefèvre);Entr’Aide à domicile;Autre;Autre;Hors Ville de Paris;Paris Habitat;ZUG;composteur cabane;contact@entraide-dom.fr;;www.entraide-dom.fr;;;"{""coordinates"": [2.298749865153408, 48.83027831865038], ""type"": ""Point""}";48.83027831865038, 2.298749865153408
Les jardins de Camille;PC 16 la muette 14 boulevard de Beauséjour;les jardins de Camille;Conseil de Paris;Autre;Hors Ville de Paris;SNCF réseau;;15 bacs hors sol avec lame d'aire cabane eau cloturette en bois;jardinpartage75116@gmail.com;;;;;"{""coordinates"": [2.2711784002316957, 48.85774154064471], ""type"": ""Point""}";48.85774154064471, 2.2711784002316957
Jardin Richomme;23 rue Richomme;La goutte verte;;Conseil de Paris;Ville de Paris;DEVE;ZUG;decaissement + SD + TV container gardes corps zone pavés enherbés;goutteverte@yahoo.fr;;;;;"{""coordinates"": [2.3508578515418175, 48.8861934811186], ""type"": ""Point""}";48.8861934811186, 2.3508578515418175
Jardin Partagé Truillot;82 boulevard Voltaire;Association du Jardin Partagé Truillot;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;;2 coffres métalliques;jardinpartage.truillot@gmail.com;;http://jardinpartagetruillot.blogspot.com/;;;"{""coordinates"": [2.374691225166572, 48.86084250772489], ""type"": ""Point""}";48.86084250772489, 2.374691225166572
Bernard Lafay;226 rue de courcelles;ecole polyvalente boulevard de Reims;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;;container maritime - fontaine à boire - dalle beton;;;;;;"{""coordinates"": [2.2945905938926776, 48.88897141825576], ""type"": ""Point""}";48.88897141825576, 2.2945905938926776
Hérold - intergénérationnel;13 rue Francis Ponge;EHPAD + crèche;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;;;;;;;;"{""coordinates"": [2.3944975377600164, 48.882420296778385], ""type"": ""Point""}";48.882420296778385, 2.3944975377600164
Jardin partagé Marcadet Montcalm;2 rue Montcalm;Jardin Partagé Marcadet Montcalm;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;ZUV;bacs en cagette légères fournis par l'asso;jardinpartage2m@gmail.com;;;;;"{""coordinates"": [2.3353101077887075, 48.891761608525115], ""type"": ""Point""}";48.891761608525115, 2.3353101077887075
monceau;75008;école élémentaire et maternelle Monceau;Conseil de Paris;Conseil de Paris;Ville de Paris;DEVE;;coffre banquette;;;;;;"{""coordinates"": [2.3090971504447237, 48.87931712131294], ""type"": ""Point""}";48.87931712131294, 2.3090971504447237
Jardin de la Place Fréhel;54 rue de Belleville;Slam Production;;Conseil d'arrondissement;Ville de Paris;DVD;;jardinières;slamproduction@orange.fr;;;;;"{""coordinates"": [2.3816586824299124, 48.873065631366835], ""type"": ""Point""}";48.873065631366835, 2.3816586824299124
Jardin Don Bosco;79 rue Alexandre Dumas;Charonne Planchat;Autre;Autre;Hors Ville de Paris;Paroisse St Jean Bosco;;compost bacs;sjb.laudatosi@gmail.com;;;;;"{""coordinates"": [2.397636801405084, 48.85525406443056], ""type"": ""Point""}";48.85525406443056, 2.397636801405084
Les Jardins de l'Orée du Bois;Square Alexandre et René Parodi 1 Place de la Porte Maillot;Les Jardins de l'Orée du Bois;Conseil de Paris;Conseil de Paris;Ville de Paris;DEVE;;cabane composteur;valerie_fobe@yahoo.fr;;;;2021-07-05;"{""coordinates"": [2.2821812937182555, 48.8768521804031], ""type"": ""Point""}";48.8768521804031, 2.2821812937182555
L’îlot Lilas;295 rue de Belleville;L’Ilot Lilas;;Conseil d'arrondissement;Ville de Paris;DEVE;Voie publique ou privée;composteur cabane poulailler mare;jardin.lilolila@outlook.fr;;;;;"{""coordinates"": [2.402294523084996, 48.8760338115303], ""type"": ""Point""}";48.8760338115303, 2.402294523084996
Le ver têtu;Jardin Ver Têtu, 2 rue Bernard tétu;Régie de quartier du 19°;;Conseil d'arrondissement;Ville de Paris;DEVE;ZUG;cabane composteur;info@rqparis19.org;;https://www.rqparis19.org/;;;"{""coordinates"": [2.376422256249393, 48.89490735849091], ""type"": ""Point""}";48.89490735849091, 2.376422256249393
Centre social Annam;4 rue d'Annam;Centre social Annam Conseil d'arrondissementF;;Autre;Hors Ville de Paris;Conseil d'arrondissementF;ZUG;;;;;;;"{""coordinates"": [2.3940532814677087, 48.86615993579195], ""type"": ""Point""}";48.86615993579195, 2.3940532814677087
Jardin partagé des boulistes de Ménilmontant;Square Emmanuel Fleury, 40 rue le Vau;Amicale de boulistes de Ménilmontant;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;ZUVEBC;local;;;;;;"{""coordinates"": [2.410993273383833, 48.869835693705724], ""type"": ""Point""}";48.869835693705724, 2.410993273383833
Les 1001 feuilles;Square Anne Franck 4 impasse Berthaud;Les 1001 Feuilles;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;PSMV MaraisEspace Vert Public à protéger;composteur du square cabane Récupération d'eau;les1001feuilles@orange.fr;;;;;"{""coordinates"": [2.353988641667737, 48.861316318395204], ""type"": ""Point""}";48.861316318395204, 2.353988641667737
Le petit paradis;5 rue Léon Schwartzenberg;Le Pari's des faubourgs;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;;décaissement+ système drainant + TV - 8bacs - 2 coffres - 1 panneau;acceuil@lepfb.net;;;;;"{""coordinates"": [2.3532746717129425, 48.87569666435601], ""type"": ""Point""}";48.87569666435601, 2.3532746717129425
Des tours au jardin;Villa d'Este;Des tours au jardin;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;;cabane composteur serre panneaux solaires;dtajbureau@googlegroups.com;;https://sites.google.com/view/destoursaujardin/;;;"{""coordinates"": [2.3666752079105633, 48.82198890813526], ""type"": ""Point""}";48.82198890813526, 2.3666752079105633
Jardin du square Chanoine Viollet;Square du Chanoine-Viollet 40 rue Hippolyte Maindron;Jardins des Couleurs;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;ZUV;composteur cabane;jardinsdescouleurs@gmail.com;;;;;"{""coordinates"": [2.321098450721666, 48.830960250365635], ""type"": ""Point""}";48.830960250365635, 2.321098450721666
Oasis de Koufra;Square Serment de Koufra rue de la Légion étrangère;L'Oasis de Koufra;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;;;loasisdekoufra@gmail.com;;;;;"{""coordinates"": [2.324393162825572, 48.82087921280804], ""type"": ""Point""}";48.82087921280804, 2.324393162825572
Jardin aux habitants;Palais de Tokyo 2 rue de la Manutention;Jardin aux habitants;;Autre;Hors Ville de Paris;Etat;ZUGELV;ruche;;;https://palaisdetokyo.com/;;;"{""coordinates"": [2.2961366819370523, 48.864166104489335], ""type"": ""Point""}";48.864166104489335, 2.2961366819370523
Verger Fleury;40 rue Le Vau;Vergers Urbains;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;;;vergersurbains@gmail.com;;http://vergersurbains.org/;https://www.facebook.com/ProjetVergersUrbains;;"{""coordinates"": [2.4118111639331086, 48.87274218373367], ""type"": ""Point""}";48.87274218373367, 2.4118111639331086
Square Jean Allemane;4 rue Mercoeur;MJC Mercoeur;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;ZUVZUGSU;9 bacs hors sol gites à insectes;contact@mercoeur.asso.fr;;mercoeur.asso.fr;;;"{""coordinates"": [2.3831478525485976, 48.85689464960514], ""type"": ""Point""}";48.85689464960514, 2.3831478525485976
Jardin Malin du 13ème;Square Boutroux 20 rue Franc Nohain;jardin malin du 13ème;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;ZUG périmètre de localisation d'équipement... d'intérêt général à réaliser;composteur cabane Récupération d'eau;jardinmalin@hotmail.fr;;;;;"{""coordinates"": [2.3752034243883315, 48.82190406651092], ""type"": ""Point""}";48.82190406651092, 2.3752034243883315
Paul paray;24 rue christine de Pisan;Collège La Rose blanche;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;;;;;;;;"{""coordinates"": [2.3078613711969544, 48.88971993565918], ""type"": ""Point""}";48.88971993565918, 2.3078613711969544
Le soulier des Fougères;Square Frida Kahlo 18 rue de Noisy le Sec / rue des fougères 75020 Paris;Le soulier des Fougères;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;ZUV;conteneur, composteur, abri à insectes;soulier.fougeres@gmail.com;;;;;"{""coordinates"": [2.412409477231944, 48.872185812706945], ""type"": ""Point""}";48.872185812706945, 2.412409477231944
Papilles et Papillons;3 rue Gasnier Guy;Régie de Quartier «Papilles et Papillons»;;Autre;Hors Ville de Paris;SIEMP;ZUV;composteur;papillesetpapillons@yahoo.fr;;;;;"{""coordinates"": [2.3928634128029973, 48.86513501362818], ""type"": ""Point""}";48.86513501362818, 2.3928634128029973
jardin partagé Alice Millat;11 ter rue d'Alésia;association jardin partagé Alice millat;;Conseil d'arrondissement;Ville de Paris;DJS;;une arrivée d'eau - une clôture - des gardes corps - un composteur;jpam.asso@gmail.com;;;;;"{""coordinates"": [2.335502899228015, 48.82701050899308], ""type"": ""Point""}";48.82701050899308, 2.335502899228015
Jardin du Square Delaporte;17 avenue Delaporte;La Belle Verte;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;;"abri grillagé
arrivée d'eau
panneau d'affichage";bonjour@larecoltecitadine.fr;;;;;"{""coordinates"": [2.4134322162422337, 48.848508261108975], ""type"": ""Point""}";48.848508261108975, 2.4134322162422337
Le Jardin d'Abel;Square René Le Gall 5 rue Emile Deslandres;Le Jardin d'Abel;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;ZUV;composteurs cabane table de jardinage;lejardindabel@gmail.com;;https://www.facebook.com/lejardindabel;;;"{""coordinates"": [2.350294367657589, 48.83475201249388], ""type"": ""Point""}";48.83475201249388, 2.350294367657589
Square de Jessaint;36 boulevard de la Chapelle;Emmaüs Solidarité;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;;;jardinsinsertion@emmaus.asso.fr;;https://www.emmaus-solidarite.org/;;;"{""coordinates"": [2.3586135946812865, 48.88458976776485], ""type"": ""Point""}";48.88458976776485, 2.3586135946812865
Jardin des Apprentis-Sages;15 bis rue Jules Romains;Centre socio-culturel de Belleville;;Autre;Hors Ville de Paris;Bailleurs Lebaudy et Batigère (non considéré comme bailleur social);ZUG;;jardindesapprentissages@gmail.com;;http://www.centresocialbelleville.net/;;;"{""coordinates"": [2.377581968185017, 48.87373480383325], ""type"": ""Point""}";48.87373480383325, 2.377581968185017
Jardin partagé Rosiers Joseph Migneret;10 rue des Rosiers;Les Jardiniers du 4ème;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;PSMV;cabane;jardiniers4@gmail.com;;;;;"{""coordinates"": [2.3600991236116426, 48.8568894182747], ""type"": ""Point""}";48.8568894182747, 2.3600991236116426
Garden l'EST;46 rue d' Alsace;Garden l'EST;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;;une couche de terre végétale de 30cm d’épaisseur recouvrant un dispositif d’étanchéïté une arrivée d’eau, et compteur divisionnaire un panneau d’affichage double un coffre à outils;Jardin.garden.lest@gmail.com;;;;;"{""coordinates"": [2.3587780490429724, 48.878908188249866], ""type"": ""Point""}";48.878908188249866, 2.3587780490429724
Jardingue de Belleville;17 rue des envierges;Archipelia;;Autre;Hors Ville de Paris;Paris Habitat;ZUGEVP;composteur;info@archipelia.org;;;;;"{""coordinates"": [2.387021891412031, 48.872122859479944], ""type"": ""Point""}";48.872122859479944, 2.387021891412031
;square de la rue Rene Binet;;;;;;;;;;;;;"{""coordinates"": [2.3383650443040938, 48.8997783984819], ""type"": ""Point""}";48.8997783984819, 2.3383650443040938
Jardin Les Mains Vertes de Sainte Périne;parc Sainte Périne 39 rue Mirabeau;Les Mains Vertes de Sainte Périne;Conseil d'arrondissement;Conseil d'arrondissement;Hors Ville de Paris;APHP;;coffre compost bacs avec système drainant abri de jardin récupérateur d'eau;lesmainsvertesdesainteperine@gmail.com;;https://mainsvertesstperine.wixsite.com/les-mains-vertes-de;;;"{""coordinates"": [2.2690205939764083, 48.84586739552511], ""type"": ""Point""}";48.84586739552511, 2.2690205939764083
Le Lapin Ouvrier;Jardin Françoise-Héritier place de la Garenne;Le Lapin Ouvrier;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;ZUV;composteurs cabane spirale à insectes mini mare dans un demi tonneau;le.lapin.ouvrier@hotmail.fr;;;;;"{""coordinates"": [2.3201598259926564, 48.833667654034656], ""type"": ""Point""}";48.833667654034656, 2.3201598259926564
Vert Tige;24 rue de Coulmier;Vert -Tige;;Autre;Hors Ville de Paris;RFF;Zone Urbaine de Grands Services UrbainsEmplacement réservé pour espace vert public;composteur cabane;jardin.vert.tige@gmail.com;;http://www.vert-tige.org/;;;"{""coordinates"": [2.322856059271892, 48.8251233214764], ""type"": ""Point""}";48.8251233214764, 2.322856059271892
Porte d'Auteuil;PC16 Auteuil, 77 boulevard Montmorency;Horizon Verdure 16eme sud;;Autre;Hors Ville de Paris;SNCF réseau;;;jardinpartageauteuil@gmail.com;;http://www.horizonverdure.sitew.com;;;"{""coordinates"": [2.2614304455372194, 48.850155724757315], ""type"": ""Point""}";48.850155724757315, 2.2614304455372194
Jardin Baudélire;27 rue Baudelique;Vert à soi;;Conseil de Paris;Ville de Paris;DAC affecté temporairement à la DEVE;ZUG;composteur cabane;jardinbaudelire@gmail.com;;https://jardinbaudelire.wordpress.com/;;;"{""coordinates"": [2.347573187346851, 48.89324636012352], ""type"": ""Point""}";48.89324636012352, 2.347573187346851
Colmar Thionville;1bis rue de Thionville;Atoll 75;;Conseil d'arrondissement;Ville de Paris;DEVE;;cabane composteur;atoll75@orange.fr;;;;;"{""coordinates"": [2.380422341557614, 48.887723292646704], ""type"": ""Point""}";48.887723292646704, 2.380422341557614
Serre aux Légumes;57 av Flandre;C P N et S.L.C.;;Conseil d'arrondissement;Ville de Paris;DEVE;ZUGEVP;composteur mare abri à insectes;cpnvaldeseine75@gmail.com;ass.locslc@wanadoo.fr;pn-valdeseine.asso.fr;;;"{""coordinates"": [2.372696133074561, 48.88777009623041], ""type"": ""Point""}";48.88777009623041, 2.372696133074561
Jardin Luquet;Square Alexandre Luquet Impasse Piat;Archipelia;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;ZUGEBC;;info@archipelia.org;;;;;"{""coordinates"": [2.386712957190427, 48.87071198875051], ""type"": ""Point""}";48.87071198875051, 2.386712957190427
Jardin du Clos des Blancs Manteaux;21 rue des Blancs Manteaux;Les jardiniers du 4ème;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;PSMV MaraisEspace Vert à réaliser;composteur coffre;jardiniers4@gmail.com;;;;;"{""coordinates"": [2.356844043861392, 48.85900635426953], ""type"": ""Point""}";48.85900635426953, 2.356844043861392
Jardin Nomade;48 rue Trousseau;Association Quartier St Bernard;;Conseil d'arrondissement;Ville de Paris;DLH;ZUG;composteur cabane spirale à insectes récupérateur d'eau de pluie gites à insecte nichoir à oiseaux;bureau@qsb11.org;;http://www.qsb11.org/;;;"{""coordinates"": [2.3792212004456044, 48.85251242118798], ""type"": ""Point""}";48.85251242118798, 2.3792212004456044
Jardin partagé de la Poterne des Peupliers;Centre d’animation de La Poterne des Peupliers 1 rue Gouthière;Ligue de l'Enseignement;;Conseil d'arrondissement;Ville de Paris;DJS;ZUG;composteur, toit végétalisé;capoternedespeupliers@ligueparis.org;;https://aujardin.jimdofree.com/;;;"{""coordinates"": [2.3512037862816473, 48.82070521941199], ""type"": ""Point""}";48.82070521941199, 2.3512037862816473
Duranton;1 rue Duranton;Ecole élémentaire, 56 Avenue Félix Faure - C.L maternelle 56 Avenue Félix Faure;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;;Bacs cylindriques;;;;;;"{""coordinates"": [2.285209612484865, 48.8410720083609], ""type"": ""Point""}";48.8410720083609, 2.285209612484865
Le moissonneur des Lilas;Jardin Serge Gainsbourg place du Maquis du Vercors;Le lien des Lilas;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;ZUG;local;lemoissonneurdeslilas@gmail.com;leliendeslilas@gmail.com;;;;"{""coordinates"": [2.4085842616976074, 48.87792750930357], ""type"": ""Point""}";48.87792750930357, 2.4085842616976074
Le Pommier des Amandiers;3 rue Elisa Borey;Le Pommier des Amandiers;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;ZUV;bacs en palette;contact@lepommierdesamandiers.fr;;;;2021-01-11;"{""coordinates"": [2.390402141438679, 48.86635333609164], ""type"": ""Point""}";48.86635333609164, 2.390402141438679
Le Jardin Aux P'tits Oignons;Square des Cévennes 3 rue Cauchy;Le jardin aux p'tits oignons;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;ZUV;composteur cabane;contact@lejardinauxptitsoignons.org;;http://lejardinauxptitsoignons.org/;;;"{""coordinates"": [2.2751466047350433, 48.84342898467173], ""type"": ""Point""}";48.84342898467173, 2.2751466047350433
Jardin l'Univert;35 rue Polonceau;Halage;;Autre;Hors Ville de Paris;Paris Habitat;ZUG;composteur cabane Récupération d'eau serre;stephane.bourdelet@halage.fr;;https://www.facebook.com/jardinlunivert/;https://www.halage.fr/;;"{""coordinates"": [2.3518848943033523, 48.885901783986256], ""type"": ""Point""}";48.885901783986256, 2.3518848943033523
Couleurs et Senteurs;7 Passage Marcel Landowski;Régie de quartier du 19°;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;ZUV;composteur cabane;info@rqparis19.org;;https://www.rqparis19.org/;;;"{""coordinates"": [2.371221331359983, 48.887294937770065], ""type"": ""Point""}";48.887294937770065, 2.371221331359983
Le nid de l'Ortolan;17 rue saint-médard;les jardiniers du 5ème;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DJS;;digicode: 24D60 + valider;jardiniersdu5eme@gmail.com;;;;;"{""coordinates"": [2.350108684782083, 48.84355196200786], ""type"": ""Point""}";48.84355196200786, 2.350108684782083
Jardin des Poètes;10 rue Francis Jammes;CRL 10 centre d'animation la Grange aux Belles;Autre;Autre;Hors Ville de Paris;SIEMP;ZUGsans doute sur une zone EVP;;;;http://www.grange-aux-belles.com/;;;"{""coordinates"": [2.368544891601185, 48.87853706826983], ""type"": ""Point""}";48.87853706826983, 2.368544891601185
Jardin Cité Industrielle;31 cité industrielle;Cité Industrielle Environnement;;Conseil d'arrondissement;Ville de Paris;DEVE;ZUG;composteur cabane nichoir à oiseaux;cite.industrielle.environnement@gmail.com;;;;;"{""coordinates"": [2.380273419718819, 48.859379990464596], ""type"": ""Point""}";48.859379990464596, 2.380273419718819
